"mr-4 href","mt-2 src","company-name","ml-2","mt-3","text-blue-600","text-blue-600 href","detail-label","detail-label 2","detail-label 3","font-medium","font-medium href","after:inline-block","after:inline-block 2","after:inline-block 3","after:inline-block 4","after:inline-block 5","detail-label 4","my-1","after:inline-block 6","text-blue-600 3","text-blue-600 href 3","font-medium 2","font-medium href 2","after:inline-block 7","after:inline-block 8","after:inline-block 9","after:inline-block 10","after:inline-block 11","after:inline-block 12","rounded-md 2","font-medium 3","font-medium href 3","after:inline-block 13","after:inline-block 14","after:inline-block 15","rounded-md 3","after:inline-block 18","after:inline-block 19"
"https://www.workatastartup.com/companies/taxgpt","https://bookface-images.s3.amazonaws.com/small_logos/925a4d89b983d4afdeba53e9f6b6672031081f94.png","TaxGPT","(S24)","AI tax assistant for professionals and businesses","taxgpt.com","https://www.workatastartup.com/companies/taxgpt/website","San Francisco","11 people","B2B Software and Services","Tech Lead - Canada-Based","https://www.workatastartup.com/jobs/78323","CA / Remote (CA)","fulltime","US citizenship/visa not required","$250K - $300K CAD","3+ years","Finance and Accounting","","","AskTaxGPT","https://twitter.com/AskTaxGPT","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/lighthouz-ai","https://bookface-images.s3.amazonaws.com/small_logos/590821192763a73a9f24cba27c008ad9759614a4.png","Lighthouz AI","(S24)","AI Agents for AP and AR in Logistics","lighthouz.ai","https://www.workatastartup.com/companies/lighthouz-ai/website","San Francisco","7 people","B2B Software and Services","Head of Growth and Product Marketing - India","https://www.workatastartup.com/jobs/77276","IN / Remote (IN)","fulltime","US citizenship/visa not required","₹10 - ₹10M INR","6+ years","","","US citizenship/visa not required","","","Senior Backend Engineer - India","https://www.workatastartup.com/jobs/77258","IN / Remote (IN)","fulltime","₹4M INR","3+ years","US citizenship/visa not required","$200K","View job","Senior AI Engineer","https://www.workatastartup.com/jobs/77202","Remote","fulltime","3+ years","View job","US citizenship/visa not required","₹3M INR"
"https://www.workatastartup.com/companies/pulse-3","https://bookface-images.s3.amazonaws.com/small_logos/d4c9c1ca34943210e8eb096916507b35ab33bece.png","Pulse","(S24)","Production-grade unstructured document extraction","runpulse.com","https://www.workatastartup.com/companies/pulse-3/website","6 people","B2B Software and Services","Infrastructure","Software Engineer","https://www.workatastartup.com/jobs/74750","San Francisco, CA, US","fulltime","Will sponsor","$130K - $210K","0.20% - 1.50%","","","Any (new grads ok)","pulse__AI","https://x.com/pulse__AI","Account Executive","https://www.workatastartup.com/jobs/74752","San Francisco, CA, US","fulltime","Will sponsor","$100K - $130K","0.20% - 0.75%","1+ years","View job","Machine Learning Engineer","https://www.workatastartup.com/jobs/74751","San Francisco, CA, US","fulltime","Will sponsor","View job","$150K - $250K","0.50% - 2.50%"
"https://www.workatastartup.com/companies/unbound","https://bookface-images.s3.amazonaws.com/small_logos/36df07c499b1ae5e15e4171c4cc3ef24d462d03c.png","Unbound","(S24)","Use AI tools without fear of data leakage","getunbound.ai","https://www.workatastartup.com/companies/unbound/website","San Francisco","7 people","B2B Software and Services","Founding Engineer","https://www.workatastartup.com/jobs/69781","Bengaluru, KA, IN","fulltime","US citizenship/visa not required","₹2M - ₹5M INR","0.10% - 1.00%","Security","","3+ years","","","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/maitai","https://bookface-images.s3.amazonaws.com/small_logos/c3c6b9b422d6e861a26fcf29a7acd2c4eae136af.png","Maitai","(S24)","Reliable, self-improving enterprise AI","trymaitai.ai","https://www.workatastartup.com/companies/maitai/website","6 people","B2B Software and Services","Engineering, Product and Design","Senior LLM Engineer","https://www.workatastartup.com/jobs/75504","Redwood City, CA, US","fulltime","Will sponsor","$100K - $225K","0.10% - 0.75%","","Interview Process","Any (new grads ok)","","","Full-Stack Engineer","https://www.workatastartup.com/jobs/75111","Redwood City, CA, US","fulltime","Will sponsor","$100K - $225K","0.10% - 0.75%","Any (new grads ok)","View job","","","","","","","",""
"https://www.workatastartup.com/companies/corgi","https://bookface-images.s3.amazonaws.com/small_logos/8f66899a62764756d799d5abc511dc4b46f8c151.png","Corgi","(S24)","Corgi is building an AI insurance company","corgi.insure","https://www.workatastartup.com/companies/corgi/website","San Francisco","50 people","Financial Technology and Services","Sales Development Representative","https://www.workatastartup.com/jobs/78580","Dallas, TX, US","fulltime","Will sponsor","$75K - $120K","Any (new grads ok)","Insurance","","Will sponsor","","","Full-Stack Software Engineer","https://www.workatastartup.com/jobs/77413","San Francisco, CA, US","fulltime","$120K - $200K","0.01% - 0.10%","Any (new grads ok)","","View job","","","","","","","",""
"https://www.workatastartup.com/companies/unsloth-ai","https://bookface-images.s3.amazonaws.com/small_logos/821f8850dee6e9f14ef87d19a86abcd55976c80c.png","Unsloth AI","(S24)","Open Source Fine-tuning & Training of LLMs","unsloth.ai","https://www.workatastartup.com/companies/unsloth-ai/website","San Francisco","2 people","B2B Software and Services","Founding ML Engineer","https://www.workatastartup.com/jobs/73175","San Francisco, CA, US","fulltime","Will sponsor","$200K - $500K","0.30% - 0.70%","Engineering, Product and Design","","Any (new grads ok)","UnslothAI","https://twitter.com/UnslothAI","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/claimsorted","https://bookface-images.s3.amazonaws.com/small_logos/84c63763f18d7ea0f559f538047cb3865f092ccc.png","ClaimSorted","(S24)","Making it easy for insurance companies to process claims","claimsorted.com","https://www.workatastartup.com/companies/claimsorted/website","20 people","Financial Technology and Services","Insurance","Product Engineer (AI)","https://www.workatastartup.com/jobs/78154","London, England, GB","fulltime","US citizenship/visa not required","£70K - £150K GBP","0.20% - 0.70%","","Interview Process","Any (new grads ok)","","","Product Engineer // NYC","https://www.workatastartup.com/jobs/76983","New York, NY, US","fulltime","Will sponsor","$160K - $220K","0.50% - 1.00%","1+ years","View job","","","","","","","",""
"https://www.workatastartup.com/companies/prohostai","https://bookface-images.s3.amazonaws.com/small_logos/069321145273b85ba7d87787840c61562c041b8f.png","ProhostAI","(S24)","AI Property Manager for Airbnb & Short-Term Rental Hosts","prohost.ai","https://www.workatastartup.com/companies/prohostai/website","San Francisco","5 people","B2B Software and Services","Founding Engineer, Full Stack","https://www.workatastartup.com/jobs/68411","San Francisco, CA, US / Remote (US)","fulltime","Will sponsor","$100K - $180K","0.20% - 2.00%","","Interview Process","Any (new grads ok)","prohostai","https://twitter.com/prohostai","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/glasskube","https://bookface-images.s3.amazonaws.com/small_logos/c9fd82d6ad8c83a6a8a30a2f1f88b9186d91f977.png","Glasskube","(S24)","Software Distribution Platform for On-Prem, Kubernetes, Docker & BYOC","glasskube.dev","https://www.workatastartup.com/companies/glasskube/website","5 people","B2B Software and Services","Infrastructure","Founding AI Engineer (Go, Typescript, Kubernetes, Docker)","https://www.workatastartup.com/jobs/76546","Vienna, Vienna, AT","fulltime","US citizenship/visa not required","€50K - €75K EUR","1+ years","","Interview Process","","glasskube","https://twitter.com/glasskube","","","","","","","","","","","","","","","","",""
